corpus,metadata_field,category,overlap_row_count
CULTURE,키워드,문화·교육/문화·예술,2434
CULTURE,키워드,문화·교육/문화·예술|정치·경제·사회/사회·복지,16
CULTURE,키워드,문화·교육/문화·예술|정치·경제·사회/경제·산업,11
CULTURE,키워드,문화·교육/문화·예술|정체·경제·사회/사회·복지,4
CULTURE,키워드,문화·교육/교육|문화·교육/문화·예술,3
CULTURE,키워드,문화·교육/문화·예술|문화·교육/교육,1
NEWS2,날짜,20190906,2469
NEWS2,언론사,한국국제문화교류진흥원,2469
NEWS2,자동분류1,문화·교육/문화·예술,2434
NEWS2,자동분류1,문화·교육/문화·예술|정치·경제·사회/사회·복지,16
NEWS2,자동분류1,문화·교육/문화·예술|정치·경제·사회/경제·산업,11
NEWS2,자동분류1,문화·교육/문화·예술|정체·경제·사회/사회·복지,4
NEWS2,자동분류1,문화·교육/교육|문화·교육/문화·예술,3
NEWS2,자동분류1,문화·교육/문화·예술|문화·교육/교육,1
NEWS2,자동분류2,문화,2469
NEWS2,자동분류3,연예,2469
