dataset_label,file_family,relative_source_path,record_path,candidate_ko_field_path,candidate_en_field_path,candidate_ko_nonnull_count,candidate_en_nonnull_count,both_nonnull_count,both_nonempty_count,ko_script_dominance_rate,en_script_dominance_rate,language_mismatch_flag_rate,candidate_source_language_field,candidate_target_language_field,candidate_direction_field,candidate_pair_id_field,candidate_document_id_field,candidate_domain_field,candidate_style_field,candidate_license_field,candidate_source_field,total_candidate_records,pair_id_availability_rate,pair_id_uniqueness_rate,duplicate_ko_count,duplicate_ko_rate,duplicate_en_count,duplicate_en_rate,duplicate_pair_count,duplicate_pair_rate,repeated_ko_with_multiple_en_count,repeated_ko_with_multiple_en_rate,repeated_en_with_multiple_ko_count,repeated_en_with_multiple_ko_rate,empty_or_whitespace_rate,extreme_codepoint_ratio_rate,extreme_byte_ratio_rate,apparent_grain,pairability_verdict,pairability_interpretation,direction_status,split_status,evidence_notes,status
LOCAL_DIR_025,TRAIN_EN_TO_KO,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,root.data[*],ko,en,1200307,1200307,1200307,1200307,0.999049409859311,0.999049409859311,0.0009505901406890071,source_language,target_language,source_language+target_language,sn,sn,domain,style,license,source,1200307,1.0,1.0,26738,0.02227596773158867,18309,0.015253597621275223,10240,0.008531150780591966,8324,0.006934892490004641,6852,0.005708539565294546,0.0,0.001243848448771856,1.2496802901257761e-05,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,DIRECTLY_OBSERVED,LOCAL_OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL2/일상생활및구어체_한영_train_set.json,root.data[*],ko,en,1200000,1200000,1200000,1200000,0.9948883333333334,0.9948883333333334,0.005111666666666666,source_language,target_language,source_language+target_language,sn,sn,domain,style,license,source,1200000,1.0,1.0,140202,0.116835,175671,0.1463925,117954,0.098295,12354,0.010295,27898,0.023248333333333333,0.0,0.0015566666666666667,0.00021916666666666666,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,DIRECTLY_OBSERVED,LOCAL_OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_영한_valid_set.json,root.data[*],ko,en,150038,150038,150038,150038,0.999386822005092,0.999386822005092,0.0006131779949079566,source_language,target_language,source_language+target_language,sn,sn,domain,style,license,source,150038,1.0,1.0,15662,0.1043868886548741,16630,0.11083858755781868,15248,0.10162758767778829,327,0.0021794478732054547,1211,0.008071288606886256,0.0,0.00012663458590490408,0.0,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,DIRECTLY_OBSERVED,LOCAL_OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_한영_valid_set.json,root.data[*],ko,en,150000,150000,150000,150000,0.9945533333333333,0.9945533333333333,0.0054466666666666665,source_language,target_language,source_language+target_language,sn,sn,domain,style,license,source,150000,1.0,1.0,10451,0.06967333333333334,12888,0.08592,8393,0.055953333333333334,1190,0.007933333333333334,2195,0.014633333333333333,0.0,0.0016466666666666667,0.00023333333333333333,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,DIRECTLY_OBSERVED,LOCAL_OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,data/raw/aigub/026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,root.data[*],ko,en,1200144,1200144,1200144,1200144,0.9993484115239505,0.9993484115239505,0.0006515884760495408,source_language,target_language,source_language+target_language,sn,sn,domain,style,license,source,1200144,1.0,1.0,52,4.332813395725846e-05,36,2.9996400431948168e-05,35,2.9163167086616273e-05,17,1.416496687064219e-05,1,8.332333453318935e-07,0.0,6.165926755456012e-05,1.5831433561305975e-05,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,DIRECTLY_OBSERVED,LOCAL_OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,data/raw/aigub/026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/기술과학분야_한영_valid_set.json,root.data[*],ko,en,150018,150018,150018,150018,0.9993200815902091,0.9993200815902091,0.0006799184097908251,source_language,target_language,source_language+target_language,sn,sn,domain,style,license,source,150018,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.332453438920662e-05,2.6663467050620593e-05,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,DIRECTLY_OBSERVED,LOCAL_OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/1_구어체(1).xlsx,sheet:Sheet0[row>=2],원문,번역문,200000,200000,200000,200000,0.9988,0.9988,0.0012,,,NOT OBSERVED,SID,SID,NOT OBSERVED,NOT OBSERVED,NOT OBSERVED,NOT OBSERVED,200000,1.0,1.0,0,0.0,8,4e-05,0,0.0,0,0.0,8,4e-05,0.0,6.5e-05,0.0,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,INDIRECTLY_SUGGESTED,NOT OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/1_구어체(2).xlsx,sheet:Sheet0[row>=2],원문,번역문,200000,200000,200000,200000,0.998965,0.998965,0.001035,,,NOT OBSERVED,SID,SID,NOT OBSERVED,NOT OBSERVED,NOT OBSERVED,NOT OBSERVED,200000,1.0,1.0,0,0.0,4,2e-05,0,0.0,0,0.0,4,2e-05,0.0,6.5e-05,0.0,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,INDIRECTLY_SUGGESTED,NOT OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/2_대화체.xlsx,sheet:Sheet0[row>=2],원문,번역문,100000,100000,100000,100000,0.99996,0.99996,4e-05,,,NOT OBSERVED,NOT OBSERVED,NOT OBSERVED,대분류,상황,NOT OBSERVED,NOT OBSERVED,100000,0.0,0.0,13,0.00013,84,0.00084,2,2e-05,9,9e-05,74,0.00074,0.0,0.0,0.0,segment/row; field-name inference,CONDITIONAL,local deterministic mapping candidate only; no semantic or official guarantee,INDIRECTLY_SUGGESTED,NOT OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/3_문어체_뉴스(1)/3_문어체_뉴스(1)_200226.xlsx,sheet:0[row>=2],원문,번역문,200011,200011,200011,200011,0.9998400087995161,0.9998400087995161,0.00015999120048397337,,,NOT OBSERVED,ID,ID,자동분류1,NOT OBSERVED,NOT OBSERVED,언론사,200011,1.0,1.0,0,0.0,20,9.999450030248337e-05,0,0.0,0,0.0,20,9.999450030248337e-05,0.0,7.499587522686252e-05,0.0,segment/row; field-name inference,PASS_CANDIDATE,local deterministic mapping candidate only; no semantic or official guarantee,INDIRECTLY_SUGGESTED,NOT OBSERVED,aggregate-only; no field name alone proves semantic alignment,LOCAL_OBSERVED
