duplicate_group_size,exact_pair_group_count,rows_in_groups
2,80834,161668
3,5528,16584
4,2200,8800
5,1254,6270
6,760,4560
7,528,3696
8,342,2736
9,301,2709
10,247,2470
11,169,1859
12,141,1692
13,114,1482
14,103,1442
15,90,1350
16,86,1376
17,87,1479
18,48,864
19,47,893
20,61,1220
21,46,966
22,40,880
23,39,897
24,45,1080
25,30,750
26,24,624
27,24,648
28,25,700
29,22,638
30,24,720
31,18,558
32,24,768
33,15,495
34,19,646
35,21,735
36,18,648
37,24,888
38,8,304
39,17,663
40,12,480
41,12,492
42,10,420
43,10,430
44,7,308
45,6,270
46,10,460
47,12,564
48,4,192
49,5,245
50,3,150
51,5,255
52,6,312
53,12,636
54,10,540
55,5,275
56,5,280
57,4,228
58,1,58
59,9,531
60,8,480
61,8,488
62,7,434
64,6,384
65,4,260
66,4,264
67,5,335
68,1,68
69,4,276
70,4,280
71,1,71
72,1,72
73,3,219
74,3,222
75,3,225
76,2,152
77,4,308
78,1,78
79,3,237
80,4,320
81,1,81
82,2,164
83,1,83
84,5,420
85,3,255
86,2,172
87,2,174
88,1,88
89,4,356
90,1,90
91,1,91
92,5,460
93,2,186
94,1,94
95,3,285
96,3,288
97,1,97
98,1,98
100,1,100
101,2,202
102,1,102
104,1,104
105,1,105
106,2,212
107,2,214
111,1,111
112,1,112
113,2,226
114,1,114
115,1,115
116,1,116
118,1,118
119,1,119
120,2,240
122,1,122
124,2,248
125,2,250
126,1,126
127,1,127
128,1,128
129,2,258
130,2,260
131,2,262
133,1,133
135,1,135
139,1,139
142,1,142
145,1,145
148,1,148
149,2,298
150,4,600
156,2,312
157,1,157
159,1,159
161,1,161
162,1,162
163,1,163
165,2,330
169,1,169
171,1,171
173,3,519
174,1,174
180,1,180
183,1,183
192,1,192
193,2,386
196,1,196
197,1,197
199,1,199
201,1,201
202,5,1010
208,1,208
214,1,214
221,1,221
222,2,444
234,1,234
238,1,238
241,1,241
243,1,243
246,1,246
249,1,249
255,2,510
258,1,258
265,1,265
266,1,266
267,2,534
271,1,271
280,1,280
293,1,293
296,1,296
304,1,304
305,1,305
313,1,313
317,1,317
322,1,322
367,1,367
382,1,382
384,1,384
386,1,386
399,1,399
412,1,412
413,1,413
418,1,418
420,1,420
421,1,421
422,1,422
505,1,505
548,1,548
564,1,564
598,1,598
606,1,606
607,1,607
709,1,709
779,1,779
863,1,863
865,1,865
904,1,904
938,1,938
942,1,942
948,1,948
952,1,952
1005,1,1005
1037,1,1037
1651,1,1651
1751,1,1751
2411,1,2411
3089,1,3089
5208,1,5208
5508,1,5508
