section,dim_a,dim_b,rows_a,distinct_a,dup_rows_a,shared_distinct_pair_digest_count
direction_x_direction,EN_TO_KO,EN_TO_KO,1350345,1323820,26525,
direction_x_direction,EN_TO_KO,KO_TO_EN,,,,50511
direction_x_direction,EN_TO_KO,UNKNOWN,,,,7
direction_x_direction,KO_TO_EN,KO_TO_EN,2700162,2562902,137260,
direction_x_direction,KO_TO_EN,UNKNOWN,,,,29
direction_x_direction,UNKNOWN,UNKNOWN,1602418,1599924,2494,
split_x_split,TRAIN,TRAIN,3600451,3436246,164205,
split_x_split,TRAIN,UNKNOWN,,,,36
split_x_split,TRAIN,VALIDATION,,,,25247
split_x_split,UNKNOWN,UNKNOWN,1602418,1599924,2494,
split_x_split,UNKNOWN,VALIDATION,,,,9
split_x_split,VALIDATION,VALIDATION,450056,425212,24844,
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,1200307,1190067,10240,
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,,,,1037
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,,,,35976
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,,,,4418
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,,,,1
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,3
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,3
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,025|EN_TO_KO|TRAIN|일상생활및구어체_영한_train_set.json,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,150038,134790,15248,
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,,,,9287
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,,,,1203
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(4).xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|4_문어체_한국문화.xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|5_문어체_조례.xlsx,,,,0
file_x_file,025|EN_TO_KO|VALIDATION|일상생활및구어체_영한_valid_set.json,LEGACY|UNKNOWN|UNKNOWN|6_문어체_지자체웹사이트.xlsx,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,1200000,1082046,117954,
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,025|KO_TO_EN|VALIDATION|일상생활및구어체_한영_valid_set.json,,,,10869
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,026|KO_TO_EN|TRAIN|기술과학분야_한영_train_set.json,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,026|KO_TO_EN|VALIDATION|기술과학분야_한영_valid_set.json,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(1).xlsx,,,,9
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|1_구어체(2).xlsx,,,,7
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|2_대화체.xlsx,,,,12
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(1)_200226.xlsx,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(2).xlsx,,,,0
file_x_file,025|KO_TO_EN|TRAIN|일상생활및구어체_한영_train_set.json,LEGACY|UNKNOWN|UNKNOWN|3_문어체_뉴스(3).xlsx,,,,0
