group,dimension,category,record_count
TRAIN · KO_TO_EN,source,한국연구재단,880593
TRAIN · KO_TO_EN,style,문어체,1200144
TRAIN · KO_TO_EN,target_language,en,1200144
TRAIN · KO_TO_EN,subdomain,사회_의료,136303
TRAIN · KO_TO_EN,data_set,기술과학분야,1200144
TRAIN · KO_TO_EN,license,open,1200144
TRAIN · KO_TO_EN,source_language,ko,1200144
TRAIN · KO_TO_EN,domain,세계,400123
TRAIN · KO_TO_EN,subdomain,경제일반,128234
TRAIN · KO_TO_EN,domain,경제,240439
TRAIN · KO_TO_EN,subdomain,국제기구,119967
TRAIN · KO_TO_EN,source,특허정보원,319551
TRAIN · KO_TO_EN,subdomain,인공지능,79979
TRAIN · KO_TO_EN,domain,기술과학,319551
TRAIN · KO_TO_EN,subdomain,산업경제,80114
TRAIN · KO_TO_EN,subdomain,정치일반,64007
TRAIN · KO_TO_EN,domain,정치,160064
TRAIN · KO_TO_EN,subdomain,문화_문화재,40033
TRAIN · KO_TO_EN,subdomain,기후,79967
TRAIN · KO_TO_EN,domain,기후,79967
TRAIN · KO_TO_EN,subdomain,IT,120052
TRAIN · KO_TO_EN,subdomain,국방외교,48055
TRAIN · KO_TO_EN,subdomain,국제통상,32091
TRAIN · KO_TO_EN,subdomain,사회_환경,63877
TRAIN · KO_TO_EN,subdomain,문화_예술,39943
TRAIN · KO_TO_EN,subdomain,빅데이터,119520
TRAIN · KO_TO_EN,subdomain,북한,48002
VALID · KO_TO_EN,source,특허정보원,40359
VALID · KO_TO_EN,style,문어체,150018
VALID · KO_TO_EN,target_language,en,150018
VALID · KO_TO_EN,subdomain,IT,15009
VALID · KO_TO_EN,data_set,기술과학분야,150018
VALID · KO_TO_EN,license,open,150018
VALID · KO_TO_EN,source_language,ko,150018
VALID · KO_TO_EN,domain,기술과학,40359
VALID · KO_TO_EN,source,한국연구재단,109659
VALID · KO_TO_EN,subdomain,경제일반,15853
VALID · KO_TO_EN,domain,경제,29705
VALID · KO_TO_EN,subdomain,산업경제,9857
VALID · KO_TO_EN,subdomain,사회_환경,8103
VALID · KO_TO_EN,domain,세계,49818
VALID · KO_TO_EN,subdomain,정치일반,8080
VALID · KO_TO_EN,domain,정치,20175
VALID · KO_TO_EN,subdomain,사회_의료,16850
VALID · KO_TO_EN,subdomain,문화_문화재,4961
VALID · KO_TO_EN,subdomain,북한,6077
VALID · KO_TO_EN,subdomain,기후,9961
VALID · KO_TO_EN,domain,기후,9961
VALID · KO_TO_EN,subdomain,빅데이터,15219
VALID · KO_TO_EN,subdomain,국제통상,3995
VALID · KO_TO_EN,subdomain,국제기구,14912
VALID · KO_TO_EN,subdomain,인공지능,10131
VALID · KO_TO_EN,subdomain,문화_예술,4992
VALID · KO_TO_EN,subdomain,국방외교,6018
