group,field,records,absent,null,empty,missing_or_empty_rate,type_counts,raw_value_exported
TRAIN · KO_TO_EN,data_set,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,domain,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,en,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,file_name,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,included_unknown_words,1200144,0,0,0,0.0,"{""boolean"": 1200144}",False
TRAIN · KO_TO_EN,ko,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,ko_original,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,license,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,mt,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,ner,1200144,0,1003831,0,0.83642546227786,"{""dict"": 196313, ""null"": 1003831}",False
TRAIN · KO_TO_EN,sn,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,source,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,source_language,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,style,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,subdomain,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,target_language,1200144,0,0,0,0.0,"{""string"": 1200144}",False
TRAIN · KO_TO_EN,word_count_en,1200144,0,0,0,0.0,"{""integer"": 1200144}",False
TRAIN · KO_TO_EN,word_count_ko,1200144,0,0,0,0.0,"{""integer"": 1200144}",False
TRAIN · KO_TO_EN,word_ratio,1200144,0,0,0,0.0,"{""number"": 1200144}",False
VALID · KO_TO_EN,data_set,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,domain,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,en,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,file_name,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,included_unknown_words,150018,0,0,0,0.0,"{""boolean"": 150018}",False
VALID · KO_TO_EN,ko,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,ko_original,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,license,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,mt,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,ner,150018,0,125372,0,0.8357130477676012,"{""dict"": 24646, ""null"": 125372}",False
VALID · KO_TO_EN,sn,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,source,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,source_language,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,style,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,subdomain,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,target_language,150018,0,0,0,0.0,"{""string"": 150018}",False
VALID · KO_TO_EN,word_count_en,150018,0,0,0,0.0,"{""integer"": 150018}",False
VALID · KO_TO_EN,word_count_ko,150018,0,0,0,0.0,"{""integer"": 150018}",False
VALID · KO_TO_EN,word_ratio,150018,0,0,0,0.0,"{""number"": 150018}",False
