group,language,metric,count,min,p50,p90,p95,p99,max,mean
구어체,EN,codepoints,400000,10,51,95,111,143,312,57.613825
구어체,EN,utf8_bytes,400000,10,51,95,111,143,312,57.633545
구어체,KO,codepoints,400000,4,26,45,52,64,117,29.08132
구어체,KO,utf8_bytes,400000,10,63,111,126,157,269,71.49782
대화체,EN,codepoints,100000,10,63,92,102,125,332,65.61012
대화체,EN,utf8_bytes,100000,10,63,92,102,125,332,65.63891
대화체,KO,codepoints,100000,5,29,40,44,53,162,30.69308
대화체,KO,utf8_bytes,100000,13,72,97,107,130,384,75.10161
문어체뉴스,EN,codepoints,801387,20,174,258,286,343,706,173.24487170368374
문어체뉴스,EN,utf8_bytes,801387,20,174,259,286,344,706,173.38280880523394
문어체뉴스,KO,codepoints,801387,15,71,97,105,120,220,69.15487149155152
문어체뉴스,KO,utf8_bytes,801387,37,175,238,257,293,491,169.3634461252803
조례,EN,codepoints,100298,39,210,338,380,466,999,222.89243055694033
조례,EN,utf8_bytes,100298,39,210,338,380,466,999,222.90101497537339
조례,KO,codepoints,100298,14,70,110,121,142,359,74.30554946260145
조례,KO,utf8_bytes,100298,32,175,273,302,356,848,185.08217511814792
지자체웹,EN,codepoints,100087,26,195,306,339,402,704,201.75230549422002
지자체웹,EN,utf8_bytes,100087,26,195,306,339,402,704,201.80911606901995
지자체웹,KO,codepoints,100087,22,75,113,122,136,186,76.81149400021981
지자체웹,KO,utf8_bytes,100087,50,184,278,301,340,484,188.55981296272242
한국문화,EN,codepoints,100646,35,151,236,264,327,804,159.677692108976
한국문화,EN,utf8_bytes,100646,35,151,236,264,327,804,159.8176678655883
한국문화,KO,codepoints,100646,21,66,102,112,128,223,69.57491604236631
한국문화,KO,utf8_bytes,100646,47,160,248,273,313,593,168.92212308487174
