group,dimension,category,record_count
대화체,대분류,비즈니스,28064
대화체,소분류,회의,6360
대화체,상황,의견 교환하기,1016
대화체,상황,찬성 및 반대,1076
대화체,소분류,출장,2179
대화체,상황,출장을 가기 위해 업무적으로 준비해야 하는 상황,640
대화체,상황,출장 경비처리를 해야 하는 상황,628
대화체,대분류,일상대화,24012
대화체,소분류,학교,4052
대화체,상황,시험에 대해 이야기하는 상황,472
대화체,상황,입학/ 졸업하는 상황,472
대화체,상황,그룹 과제를 하는 상황,476
대화체,상황,제안 및 협상하기,924
대화체,상황,회의 일정 잡기,684
대화체,소분류,회사,888
대화체,상황,업무 보고,296
대화체,상황,지각한 상황,404
대화체,상황,동아리활동,396
대화체,소분류,음식점,4060
대화체,상황,위생문제 제기,4
대화체,상황,다른 음식점으로 옮기자고 제안하는 상황,4
대화체,상황,무엇을 먹을지 결정하는 상황,4
대화체,상황,음식 먹는 방식에 대해 얘기 중,4
대화체,상황,음식점에 초대한 사람 기다리는 중,4
대화체,상황,음식 투정 중,4
대화체,상황,젓가락질을 못 하는 아이를 가르치는 상황,4
대화체,상황,좋아하는 디저트에 대해 얘기 중,4
대화체,상황,음식점 인테리어에 대해 얘기 중,4
대화체,상황,메뉴 고르는 상황,8
대화체,상황,음식 간이 안 맞아 항의하는 상황,4
대화체,상황,식당에서 물건을 요구하는 상황,4
대화체,상황,식당을 칭찬하는 상황,4
대화체,상황,식당 불만을 얘기하는 상황,4
대화체,상황,어느 음식점 갈지 고르는 상황,4
대화체,상황,음식 나눠 먹는 상황,4
대화체,상황,추천하는 상황,4
대화체,상황,결제하는 상황,4
대화체,상황,예약하는 상황,4
대화체,상황,예약 취소하는 상황,4
대화체,상황,주문이 잘못된 상황,4
대화체,상황,음식점에서 지인을 만난 상황,4
대화체,상황,대기하는 상황,4
대화체,상황,옷을 떨어트린 상황,4
대화체,소분류,인사,535
대화체,상황,우연히 길에서 만난 지인,4
대화체,상황,인사하는 법을 배우는 상황,4
대화체,상황,시부모님댁에 인사드리러 가는 상황,4
대화체,상황,친구의 오빠를 길에서 마주친 상황,4
대화체,상황,같은 반 짝꿍이 되어 인사하는 상황,4
대화체,상황,소개팅에서 처음 만난 상황,4
대화체,상황,윗집 사는 사람과 만난 상황,4
대화체,상황,아랫집 사는 사람과 만난 상황,4
대화체,상황,자주 가는 옷집에서 인사하는 상황,4
