group,language,metric,row_count,records,rate,classification
TRAIN · EN_TO_KO,EN,email_like,72,1200307,5.9984653926037255e-05,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,EN,nfkc_change,59,1200307,4.9154091411613865e-05,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,EN,phone_like,470,1200307,0.0003915664909060765,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,EN,url_like,16,1200307,1.3329923094674945e-05,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,EN,zero_width,45,1200307,3.749040870377329e-05,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,KO,email_like,6,1200307,4.998721160503104e-06,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,KO,nfkc_change,243,1200307,0.00020244820700037573,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,KO,phone_like,465,1200307,0.0003874008899389906,SOFT_OBSERVATION_ONLY
TRAIN · EN_TO_KO,KO,url_like,16,1200307,1.3329923094674945e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,email_like,254,1200000,0.00021166666666666667,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,expected_script_absent,1361,1200000,0.0011341666666666666,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,html_like,31,1200000,2.5833333333333332e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,nfkc_change,2060,1200000,0.0017166666666666667,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,phone_like,378,1200000,0.000315,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,EN,url_like,48,1200000,4e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,email_like,90,1200000,7.5e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,expected_script_absent,3842,1200000,0.0032016666666666665,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,html_like,20,1200000,1.6666666666666667e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,nfkc_change,679,1200000,0.0005658333333333333,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,phone_like,367,1200000,0.00030583333333333336,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,replacement_character,4,1200000,3.3333333333333333e-06,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,url_like,49,1200000,4.0833333333333334e-05,SOFT_OBSERVATION_ONLY
TRAIN · KO_TO_EN,KO,zero_width,5,1200000,4.166666666666667e-06,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,EN,email_like,2,150038,1.3329956411042535e-05,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,EN,nfkc_change,45,150038,0.0002999240192484571,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,EN,phone_like,18,150038,0.00011996960769938283,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,EN,url_like,2,150038,1.3329956411042535e-05,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,EN,zero_width,41,150038,0.000273264106426372,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,KO,nfkc_change,95,150038,0.0006331729295245205,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,KO,phone_like,19,150038,0.00012663458590490408,SOFT_OBSERVATION_ONLY
VALID · EN_TO_KO,KO,url_like,2,150038,1.3329956411042535e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,email_like,29,150000,0.00019333333333333333,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,expected_script_absent,177,150000,0.00118,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,html_like,7,150000,4.6666666666666665e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,nfkc_change,258,150000,0.00172,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,phone_like,40,150000,0.0002666666666666667,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,replacement_character,1,150000,6.666666666666667e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,EN,url_like,5,150000,3.3333333333333335e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,email_like,6,150000,4e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,expected_script_absent,487,150000,0.003246666666666667,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,html_like,6,150000,4e-05,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,nfkc_change,77,150000,0.0005133333333333333,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,phone_like,41,150000,0.00027333333333333333,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,replacement_character,1,150000,6.666666666666667e-06,SOFT_OBSERVATION_ONLY
VALID · KO_TO_EN,KO,url_like,5,150000,3.3333333333333335e-05,SOFT_OBSERVATION_ONLY
