card,metric,metric_ko,value,n,numerator,denominator,source_artifact,source_sha,note
CARD01,delta_T_mean,ΔT 평균,6.9520415600883005,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD01,delta_T_q05,ΔT 5분위,-1.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD01,delta_T_q25,ΔT 25분위,2.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD01,delta_T_q50,ΔT 중앙값,5.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD01,delta_T_q75,ΔT 75분위,10.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD01,delta_T_q95,ΔT 95분위,20.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD02,ko_token_mean,한국어 token 수 평균,27.122632813241335,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD02,ko_token_q05,한국어 token 수 5분위,8.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD02,ko_token_q25,한국어 token 수 25분위,14.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
CARD02,ko_token_q50,한국어 token 수 중앙값,21.0,3835988,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,
