claim_id,plain_korean_claim,technical_claim,status,N,estimate,CI_or_range,numerator,denominator,source_artifact,source_SHA,audit_SHA,allowed_wording,forbidden_wording,article_ready,article_ready_point_estimate,article_ready_bootstrap_ci,ci_status,quarantined_ci
C-01,이 표본에서 o200k_base 기준 한국어 문장의 중앙 token premium은 33.3%였다.,"Median(log TP) = 0.2876820724517808, 즉 median TP = 4/3 (paired KO-EN, o200k_base).",AUDITED_CANONICAL,3835988.0,median TP = 1.3333 (+33.33%),median CI는 격자 점질량으로 퇴화 — 구간을 제시하지 않는다,—,"3,835,988",NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout (RQ1 CLOSED),이 병렬 말뭉치·o200k_base 기준으로 중앙 문장쌍에서 33.3% 더 많은 token,한국어는 본질적으로 AI에 33.3% 비효율적이다 / 한국어 사용자는 33% 더 비싸다,YES,YES,N/A,NOT_APPLICABLE,
C-02,문장쌍 10개 중 약 9개에서 한국어 쪽 token이 더 많았다.,"P(TP > 1) = 0.879850 (3,375,095 / 3,835,988).",AUDITED_CANONICAL,3835988.0,0.879850,표본 비율 — 구간 추정 아님,"3,375,095","3,835,988",NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout,이 표본의 87.99%에서 한국어 token 수가 더 많았다,한국어 문장은 항상 token이 더 많다 / 88% 확률로 손해를 본다,YES,YES,N/A,NOT_APPLICABLE,
C-03,중앙 문장쌍에서 한국어가 영어보다 5개 더 많은 token을 썼다.,Median(ΔT) = 5 tokens; ΔT는 문장 길이에 비례해 커지므로 보조 지표다 (SSOT D-01).,DESCRIPTIVE_PERSISTED,3835988.0,median ΔT = 5,"5–95 분위 [-1, 20]",—,"3,835,988",D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,중앙 문장쌍 기준 절대 차이 5 token (길이 의존 지표),한국어는 문장마다 5 token씩 손해다,NO,NO,N/A,NOT_APPLICABLE,
C-04,"이 표본에서 한국어 문장은 중앙값 21개, 영어 문장은 중앙값 16개의 token으로 쪼개졌다.","Median KO token count = 21, median EN token count = 16 (marginal summaries only).",DESCRIPTIVE_PERSISTED,3835988.0,KO 21 / EN 16,"KO 5–95% [8, 62] · EN 5–95% [6, 46]",—,"3,835,988",D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,두 언어의 주변 분포 요약,21/16 = 1.31 을 프리미엄으로 인용 (주변 평균·중앙값의 비는 주 estimand가 아니다),NO,NO,N/A,NOT_APPLICABLE,
C-05,한국어의 token 프리미엄은 '글자가 많아서'가 아니다 — 글자 수는 오히려 적다.,log CodePointRatio 중앙값 = -0.7605 (99.67%가 음수); 프리미엄은 byte 밀도와 압축 penalty 항에서 나온다. 이는 대수적 항등식의 구성이지 인과 분해가 아니다.,DESCRIPTIVE_PERSISTED,3835988.0,median log CR = -0.7605,"5–95% [-1.0986, -0.3868]",—,"3,835,988",D-02 + D-04,dfae8e01cd3fe2ca949d8754678e508203ad1a7aa6abea418008a33ac650d309,,문자 수 기준으로는 한국어가 더 짧다 (항등식의 세 항 중 하나),문자 수가 프리미엄을 X% 설명한다 / 문자 수 때문에 프리미엄이 생긴다,NO,NO,N/A,NOT_APPLICABLE,
C-06,정확 분해 항등식은 383만 문장쌍 전수에서 성립한다.,"log TP = log CR + log BDR + log CP, max |error| = 8.88e-16 over N = 3,835,988 (G5 감사 + 이 실행 재확인).",AUDITED_CANONICAL,3835988.0,max |error| 8.88e-16,float64 반올림 한계,—,"3,835,988",G5 adjudication,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,9d99e13026b89dcf7d8846d0c105a811f64274bc,프리미엄은 세 요소로 정확히 분해된다 (수학적 항등식),세 요소가 프리미엄의 원인을 각각 X%씩 차지한다,YES,YES,N/A,NOT_APPLICABLE,
C-07,"한국어 문장은 글자 수로는 영어보다 짧지만, 실제 token 수는 더 많은 경우가 대부분이다.","정의 C (codepoint deficit AND token surplus) = 3,363,717 / 3,835,988. 정의 B (codepoint deficit AND byte surplus) = 2,725,550. 두 집합은 서로 포함 관계가 아니다.",DESCRIPTIVE_PERSISTED,3835988.0,C = 87.6884%,A = 99.6691% · B = 71.0521%,"3,363,717","3,835,988",D-02 + D-04,dfae8e01cd3fe2ca949d8754678e508203ad1a7aa6abea418008a33ac650d309,,세 정의를 각각 이름 붙여 구분해 인용,세 수치를 모두 '표현 역전'이라는 한 이름으로 섞어 쓰기,NO,NO,N/A,NOT_APPLICABLE,
C-08,UTF-8 표현 부담이 큰 문장쌍이라고 해서 tokenizer가 그만큼 더 불리하게 압축하지는 않는다.,"Spearman rho(log BDR, log CP) = -0.0507 over N = 3,835,988; 사분위 교차표의 네 모서리가 모두 상당한 질량을 갖는다. 확률적 독립을 주장하지 않는다.",DESCRIPTIVE_PERSISTED,3835988.0,rho = -0.0507,점추정 — 구간 미제시,—,"3,835,988",D-02 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,두 지표는 이 표본에서 거의 함께 움직이지 않는다 (서로 다른 축),byte 부담과 압축 penalty는 통계적으로 독립이다 / 서로 무관함이 증명되었다,NO,NO,N/A,NOT_APPLICABLE,
C-09,"한국어는 tokenizer가 나누는 덩어리(regex chunk)는 오히려 더 적은데, 최종 subword token은 더 많다.","KO median chunk = 11, EN = 15; KO median tokens-per-chunk = 2.0, EN = 1.0. 순수 기술 관찰.",DESCRIPTIVE_PERSISTED,3835988.0,chunk 적고 token 많은 쌍 81.00%,—,"3,107,277","3,835,988",D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,덩어리 하나가 더 많은 조각으로 쪼개진다 (기술적 관찰),regex chunking이 프리미엄을 만든다 / regex 규칙이 한국어에 불리하게 설계됐다,NO,NO,N/A,NOT_APPLICABLE,
C-10,"형태소 분석 단위, tokenizer가 나누는 덩어리, 최종 token은 서로 다른 세 계층이다.",KO 중앙값: 어절 9 → 형태소 19 → regex chunk 11 → subword token 21. 단조 정렬조차 되지 않는다 (포함 관계 없음).,DESCRIPTIVE_PERSISTED,3835988.0,9 → 19 → 11 → 21,중앙값,—,"3,835,988",D-02 + D-03 + D-04 + D-05,0fe5bd74e3993a7141c5c33ea78e71b2c66e3ecd296544bde2615acb43e50f7d,,세 계층은 다른 단위를 만든다 (개수 비교),형태소 경계가 token 경계와 일치한다 / 한 계층이 다른 계층을 결정한다,NO,NO,N/A,NOT_APPLICABLE,
C-11,"출처와 도메인이 거의 겹치지 않아, '어느 분야가 더 불리한가'를 이 자료로 답할 수 없다.",source × domain 실현 셀 5/8; `other`만 두 출처에서 관측된다. source와 domain의 독립 주효과는 식별 불가 (G5 ID-03). 026 계열에는 EN_TO_KO 관측이 0건 (G5 ID-04).,AUDITED_CANONICAL,3835988.0,실현 셀 5 / 8,—,5,8,G5_IDENTIFIABILITY,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,9d99e13026b89dcf7d8846d0c105a811f64274bc,관측 층별 기술 수치 / 식별 가능한 비교 범위,법률 도메인이 기술 도메인보다 프리미엄이 높다 / 출처 A가 출처 B보다 불리하다,YES,YES,N/A,NOT_APPLICABLE,
C-12,"극단적으로 보이는 사례들은 대부분 짧은 문장에서 생기는 정상적 경계이며, 어느 것도 삭제되지 않았다.",TP ≥ 3: n=3647; TP < 0.5: n=1203; eojeol=1: n=42096. 상태 코드로 분류하되 결과 의존적 사후 행 삭제는 금지 (SSOT §16.3).,DESCRIPTIVE_PERSISTED,3835988.0,rows deleted = 0,—,0,"3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,경계 사례를 개수·비율·상태와 함께 공개,이상치를 제거한 뒤의 수치 / 이 사례들은 오류다,NO,NO,N/A,NOT_APPLICABLE,
C-13,문장의 표현·표면형 구조만으로 프리미엄 변동의 상당 부분이 설명된다.,"RQ3 (M1 − M0) ΔR² = 0.620954, partial R² = 0.639252. Outcome A = log_token_premium, fixed-effects OLS, HC1. bootstrap 구간은 CORRECTION_PENDING.",AUDITED_RESULT,3835988.0,ΔR² = 0.6210,CORRECTION_PENDING,—,"3,835,988",NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,표현 block을 더했을 때 설명 R²가 0.62 증가했다,표현 구조가 프리미엄의 62%를 원인으로 만든다,YES,YES,NO,CORRECTION_PENDING,"[0.620245, 0.621652]"
C-14,형태소 지표는 표현 구조를 통제한 뒤에는 추가 설명력이 매우 작다.,"RQ4 (M2 − M1) ΔR² = 0.006590, partial R² = 0.018807. 대안 block M2A도 같은 크기 (ΔR² = 0.005845). bootstrap 구간은 CORRECTION_PENDING.",AUDITED_RESULT,3835988.0,ΔR² = 0.006590,CORRECTION_PENDING,—,"3,835,988",NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,형태소 block의 증분 설명력은 0.0066으로 작다 (0이 아니지만 작다),형태소는 프리미엄과 무관하다 / 한국어 형태소 구조는 영향이 없다,YES,YES,NO,CORRECTION_PENDING,"[0.006476, 0.006701]"
C-15,"tokenizer 내부 구조 지표를 넣으면 설명력이 크게 오르지만, 이는 결과가 만들어지는 과정 자체에 가까워 인과 해석 대상이 아니다.","RQ5 (M3 − M2) ΔR² = 0.150770, partial R² = 0.438500. SSOT MN-02: post-treatment mechanism audit. RQ5 primary 증거는 block 수준 M3−M2이며 raw chunk-count 계수 해석은 금지. bootstrap 구간은 CORRECTION_PENDING.",AUDITED_RESULT,3835988.0,ΔR² = 0.1508,CORRECTION_PENDING,—,"3,835,988",NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,mechanism block이 추가로 설명하는 R²는 0.15다 (post-treatment),regex chunking이 프리미엄의 가장 큰 원인이다 / mechanism이 15%를 유발한다,YES,YES,NO,CORRECTION_PENDING,"[0.150248, 0.151317]"
C-16,두 번째 결과변수(압축 penalty)로 얻은 결과는 첫 번째 결과의 독립 재현이 아니다.,"B-N01: M1 이상에서 Outcome B의 적합은 Outcome A의 적합과 동일하며 (잔차·SSR·AIC·BIC 일치), RQ4·RQ5의 partial R²는 구조적으로 같다. ΔR²만 SST 분모 차이로 달라진다. STRUCTURAL_EQUIVALENCE.",AUDITED_RESULT,3835988.0,RQ4·RQ5 partial R² A == B,max |SSR 상대차| 4.2e-13,—,"3,835,988",NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,두 결과변수는 같은 적합의 두 표현이다 (구조적 동치),두 개의 서로 다른 결과변수에서 같은 결론이 확인되었다 (독립 재현),YES,YES,N/A,NOT_APPLICABLE,
C-17,이 결과가 다른 모형 설정에서도 흔들리지 않는지는 아직 말할 수 없다.,ROBUSTNESS CLAIM MATRIX (primary estimate · sensitivity range · direction stability · material attenuation · specification sensitivity) requires NB11 audit PASS.,NOT_YET_ESTABLISHED,,—,—,—,—,—,,,아직 산출되지 않았다고 명시,설명 R²를 예측 성능처럼 인용 / 민감도 분석 없이 '견고하다'고 서술,NO,NO,N/A,NOT_APPLICABLE,
